ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"88BA43D862DD021B,111,female,TN,TN,PP,0,0,others,""€ 538,65"",17,0,122,9675E090282FC25B57550B20F9143564"
"90B788132194F0DB,111,female,TN,TN,PP,1,0,others,""€ 58,30"",29,0,77,94EC7C80AB2E80A3134E6057499EAB78"
"B6F617F5C5420FE3,111,female,TN,TN,PP,1,0,others,""€ 48,13"",36,0,24,39433B1B8B8DA3F443BF9A9D708AFAD4"
"C85E2FDDF28FA9F5,111,female,FR,FR,PP,0,0,others,""€ 1383,14"",34,0,61,870ED09D73392CAD2349BA2C6C60B90B"
"CBC1A68C624D515E,111,female,TN,TN,PP,0,1,others,""€ 127,21"",40,1,1,6AD2A5A282B33B5C2135FEC51FFA6D7C"
"D74AB11F5873E410,111,female,TN,TN,PP,0,0,others,""€ 278,10"",39,1,66,1034DDC84F9AB38DEFB33A0A5966D328"
"034895CCF784CE80,110,female,TN,TN,PP,0,1,MARIE,""€ 846,33"",34,0,40,29C3B2D3D83D05E6CD0E8B516ACFC773"
"04FA4CF956E13D51,110,male,TN,TN,PP,0,0,others,""€ 664,25"",43,1,17,DAE186268A5E94A8AC029D261614E653"
"09C0E8A0613521A9,110,male,FR,FR,PP,1,1,others,""€ 1383,14"",34,1,61,870ED09D73392CAD63EAECC092194813"
"0C6829E59D7706B7,110,male,CH,CH,PP,0,1,others,""€ 80,00"",43,1,60,4367A637604EBD470744C7B5696B32C1"
"13832A53AE3A39FD,110,male,FR,FR,PP,1,1,others,""€ 3500,00"",35,1,61,870ED09D73392CAD97E383FCA2EA9005"
"18AF401AE6AF81F1,110,female,TN,TN,PP,0,1,others,""€ 34,20"",39,1,61,E942176CBEF867264B4CCCA09F34776E"
"191D7620B6C9F663,110,female,TN,TN,PP,0,0,others,""€ 156,67"",43,0,61,2CD53C9E1587B73CE5502ADEBE0C347E"
"19BE1B182BF7BEBA,110,male,TN,TN,PP,1,1,others,""€ 21,14"",43,1,61,F28D559FB74D1D08812ED25C5E2C74BC"
"1AB76F6AC17D41C4,110,female,FR,FR,PP,0,1,others,""€ 2197,50"",35,1,60,D97044148666C09644F22194659D6A7B"
"1E2A191E76560197,110,male,TN,TN,PP,0,0,others,""€ 326,75"",43,0,61,3481DC0A26FE2F8076B60CC152DE19C8"
"1FA62038DD223C6B,110,male,FR,TN,PP,1,0,others,""€ 33,63"",30,1,61,5D8F1C6CB6CA48EB15097677DA5805EC"
"20B14FB6F2C2B055,110,female,TN,TN,PM,0,0,others,""€ 0,90"",34,1,71,377D5E1640BEA69EFDE57929FFBE00A0"
"26A60CFA78547F58,110,male,TN,TN,PP,1,0,MARIE,""€ 118,78"",32,0,40,1C1C0DA2EF8E32D94DECE4F9E34B95F0"
"26AC70ECE987F225,110,male,KW,TN,PP,0,1,others,""€ 300,65"",33,1,71,0793DAD55BF1BEE158747A1C406D0646"
"273D46B3352FC626,110,female,FR,FR,PP,0,0,others,""€ 140,26"",43,0,60,108D182662713D7A6B0608BCE586ED6B"
"28E31651C41DA1C8,110,male,FR,FR,PP,0,0,others,""€ 1150,00"",43,0,60,6D8B9B22F35D3AC99F66906FF5EAE2C3"
